"waktu","irradiance"
"2024-03-23 06:00:00","21.6"
"2024-03-23 06:00:00","21.6"
"2024-03-23 06:00:01","21.6"
"2024-03-23 06:00:01","21.6"
"2024-03-23 06:00:02","21.6"
"2024-03-23 06:00:02","21.6"
"2024-03-23 06:00:03","21.6"
"2024-03-23 06:00:03","21.6"
"2024-03-23 06:00:04","21.6"
"2024-03-23 06:00:04","21.6"
"2024-03-23 06:00:05","21.6"
"2024-03-23 06:00:05","21.6"
"2024-03-23 06:00:06","21.6"
"2024-03-23 06:00:06","21.6"
"2024-03-23 06:00:07","21.6"
"2024-03-23 06:00:07","21.6"
"2024-03-23 06:00:08","21.6"
"2024-03-23 06:00:08","21.6"
"2024-03-23 06:00:09","21.6"
"2024-03-23 06:00:09","21.6"
"2024-03-23 06:00:10","21.6"
"2024-03-23 06:00:10","21.6"
"2024-03-23 06:00:11","21.6"
"2024-03-23 06:00:11","21.6"
"2024-03-23 06:00:12","21.6"
"2024-03-23 06:00:12","21.6"
"2024-03-23 06:00:13","21.6"
"2024-03-23 06:00:13","21.6"
"2024-03-23 06:00:14","21.6"
"2024-03-23 06:00:14","21.6"
"2024-03-23 06:00:15","21.6"
"2024-03-23 06:00:15","21.6"
"2024-03-23 06:00:16","21.6"
"2024-03-23 06:00:16","21.6"
"2024-03-23 06:00:17","21.6"
"2024-03-23 06:00:17","21.6"
"2024-03-23 06:00:18","21.6"
"2024-03-23 06:00:18","21.6"
"2024-03-23 06:00:19","21.6"
"2024-03-23 06:00:19","21.6"
"2024-03-23 06:00:20","21.6"
"2024-03-23 06:00:20","21.6"
"2024-03-23 06:00:21","21.6"
"2024-03-23 06:00:21","21.6"
"2024-03-23 06:00:22","21.6"
"2024-03-23 06:00:22","23.3"
"2024-03-23 06:00:23","23.3"
"2024-03-23 06:00:23","23.3"
"2024-03-23 06:00:24","23.3"
"2024-03-23 06:00:24","23.3"
"2024-03-23 06:00:25","23.3"
"2024-03-23 06:00:25","23.3"
"2024-03-23 06:00:26","23.3"
"2024-03-23 06:00:26","23.3"
"2024-03-23 06:00:27","23.3"
"2024-03-23 06:00:27","23.3"
"2024-03-23 06:00:28","23.3"
"2024-03-23 06:00:28","23.3"
"2024-03-23 06:00:29","23.3"
"2024-03-23 06:00:29","23.3"
"2024-03-23 06:00:30","23.3"
"2024-03-23 06:00:30","23.3"
"2024-03-23 06:00:31","23.3"
"2024-03-23 06:00:31","23.3"
"2024-03-23 06:00:32","23.3"
"2024-03-23 06:00:32","23.3"
"2024-03-23 06:00:33","23.3"
"2024-03-23 06:00:33","23.3"
"2024-03-23 06:00:34","23.3"
"2024-03-23 06:00:34","23.3"
"2024-03-23 06:00:35","23.3"
"2024-03-23 06:00:35","23.3"
"2024-03-23 06:00:36","23.3"
"2024-03-23 06:00:36","23.3"
"2024-03-23 06:00:37","23.3"
"2024-03-23 06:00:37","23.3"
"2024-03-23 06:00:38","23.3"
"2024-03-23 06:00:38","23.3"
"2024-03-23 06:00:39","23.3"
"2024-03-23 06:00:39","23.3"
"2024-03-23 06:00:40","23.3"
"2024-03-23 06:00:40","23.3"
"2024-03-23 06:00:41","23.3"
"2024-03-23 06:00:41","23.3"
"2024-03-23 06:00:42","23.3"
"2024-03-23 06:00:42","23.3"
"2024-03-23 06:00:43","23.3"
"2024-03-23 06:00:43","23.3"
"2024-03-23 06:00:44","23.3"
"2024-03-23 06:00:44","23.3"
